OrderID,OrderDate,CustomerID,ProductID,StoreID,Region,SalesAmount,Quantity,Discount,PaymentMode,SalesPerson,OrderStatus,Channel,ShippingCost,TaxAmount,DeliveryDays,CustomerRating,IsReturned,Profit
50001,2023-01-01 00:00:00,C1807,P186,S03,West,89066,3,15,UPI,Kiran,Delivered,Online,1615,6191,5,5,No,16031
50002,2023-01-01 01:00:00,C1176,P238,S04,West,63143,1,15,Debit Card,Anjali,Pending,In-Store,1757,7399,6,1,No,11365
50003,2023-01-01 02:00:00,C1340,P221,S03,East,52595,3,5,Cash,Neha,Delivered,Online,1550,2805,2,1,No,9467
50004,2023-01-01 03:00:00,C1056,P263,S02,North,48894,3,20,Credit Card,Aman,Pending,In-Store,1126,7745,6,2,No,8800
50005,2023-01-01 04:00:00,C1854,P148,S03,West,86925,2,10,Debit Card,Anjali,Delivered,In-Store,1749,729,2,3,No,15646
50006,2023-01-01 05:00:00,C1851,P147,S02,North,5775,4,15,Debit Card,Rahul,Pending,In-Store,1157,8481,2,3,No,1039
50007,2023-01-01 06:00:00,C1447,P214,S02,North,23355,4,0,Credit Card,Kiran,Pending,Online,118,7477,1,1,No,4203
50008,2023-01-01 07:00:00,C1202,P186,S03,East,84813,4,20,Cash,Rahul,Delivered,Online,1016,5118,2,5,No,15266
50009,2023-01-01 08:00:00,C1696,P106,S01,West,23124,2,10,Credit Card,Aman,Pending,In-Store,847,8366,2,2,No,4162
50010,2023-01-01 09:00:00,C1632,P176,S01,South,19114,1,10,Credit Card,Kiran,Pending,In-Store,1239,5582,6,1,No,3440
50011,2023-01-01 10:00:00,C1737,P278,S03,East,61481,1,15,Cash,Neha,Delivered,In-Store,184,6193,6,2,No,11066
50012,2023-01-01 11:00:00,C1201,P244,S03,East,58657,4,0,Credit Card,Kiran,Delivered,In-Store,124,4622,2,3,No,10558
50013,2023-01-01 12:00:00,C1329,P259,S04,North,20631,4,15,UPI,Rahul,Delivered,In-Store,1836,6615,2,3,No,3713
50014,2023-01-01 13:00:00,C1362,P253,S04,South,66931,1,20,UPI,Anjali,Cancelled,Online,252,4986,2,1,No,12047
50015,2023-01-01 14:00:00,C1891,P220,S03,East,42120,2,5,Cash,Rahul,Pending,In-Store,1797,254,5,1,No,7581
50016,2023-01-01 15:00:00,C1453,P223,S01,North,11541,1,20,Debit Card,Aman,Pending,In-Store,338,4791,3,2,No,2077
50017,2023-01-01 16:00:00,C1355,P249,S04,West,76653,3,0,Debit Card,Neha,Cancelled,Online,896,7356,2,1,No,13797
50018,2023-01-01 17:00:00,C1215,P240,S04,North,67146,3,5,Debit Card,Aman,Cancelled,In-Store,885,3127,5,4,No,12086
50019,2023-01-01 18:00:00,C1971,P224,S01,South,40091,2,10,UPI,Aman,Pending,In-Store,356,3127,5,1,No,7216
50020,2023-01-01 19:00:00,C1554,P111,S03,South,75386,4,15,Debit Card,Anjali,Delivered,In-Store,1467,9780,1,3,No,13569
50021,2023-01-01 20:00:00,C1886,P170,S01,North,68173,3,20,UPI,Rahul,Cancelled,Online,983,8581,5,3,No,12271
50022,2023-01-01 21:00:00,C1022,P100,S02,West,31707,1,15,UPI,Anjali,Cancelled,Online,985,5783,5,2,No,5707
50023,2023-01-01 22:00:00,C1154,P260,S04,South,13607,3,20,Credit Card,Anjali,Delivered,In-Store,1588,3094,5,1,No,2449
50024,2023-01-01 23:00:00,C1185,P218,S04,South,2340,1,15,Credit Card,Kiran,Delivered,In-Store,201,9708,2,3,No,421
50025,2023-01-02 00:00:00,C1248,P241,S04,West,28740,1,5,Debit Card,Rahul,Pending,Online,1203,9663,3,4,No,5173
50026,2023-01-02 01:00:00,C1748,P210,S01,East,34010,1,15,Debit Card,Kiran,Delivered,Online,72,9841,1,5,No,6121
50027,2023-01-02 02:00:00,C1804,P163,S01,South,3660,3,0,UPI,Rahul,Cancelled,In-Store,1636,2846,3,1,Yes,658
50028,2023-01-02 03:00:00,C1133,P142,S03,North,37809,2,0,Debit Card,Anjali,Pending,Online,876,3252,4,4,No,6805
50029,2023-01-02 04:00:00,C1320,P285,S04,West,57218,1,15,Debit Card,Neha,Pending,Online,91,9121,0,4,No,10299
50030,2023-01-02 05:00:00,C1389,P140,S02,South,40949,3,10,UPI,Kiran,Pending,In-Store,1476,435,6,2,No,7370
50031,2023-01-02 06:00:00,C1433,P295,S03,East,63358,4,0,Cash,Rahul,Delivered,In-Store,1209,6521,4,2,No,11404
50032,2023-01-02 07:00:00,C1021,P214,S01,South,23891,2,20,Debit Card,Kiran,Delivered,In-Store,331,4090,4,2,No,4300
50033,2023-01-02 08:00:00,C1872,P138,S02,East,86225,3,15,UPI,Rahul,Delivered,In-Store,387,447,6,5,No,15520
50034,2023-01-02 09:00:00,C1599,P100,S03,South,14795,2,15,Debit Card,Kiran,Delivered,In-Store,177,3292,1,3,No,2663
50035,2023-01-02 10:00:00,C1664,P140,S01,South,57061,3,0,Debit Card,Neha,Cancelled,In-Store,989,2837,6,2,No,10270
50036,2023-01-02 11:00:00,C1124,P272,S02,North,47536,1,10,Cash,Rahul,Cancelled,Online,865,4422,0,4,No,8556
50037,2023-01-02 12:00:00,C1078,P187,S03,West,83987,4,20,UPI,Neha,Pending,Online,1146,4165,6,5,No,15117
50038,2023-01-02 13:00:00,C1857,P197,S02,West,84230,3,0,Credit Card,Neha,Cancelled,In-Store,1433,5999,6,1,Yes,15161
50039,2023-01-02 14:00:00,C1967,P187,S01,North,41142,2,0,Cash,Neha,Delivered,In-Store,1493,8009,6,3,Yes,7405
50040,2023-01-02 15:00:00,C1050,P178,S03,West,60172,4,5,Debit Card,Kiran,Delivered,Online,826,9292,0,4,No,10830
50041,2023-01-02 16:00:00,C1727,P240,S01,West,80904,4,0,UPI,Aman,Cancelled,In-Store,146,2364,5,2,No,14562
50042,2023-01-02 17:00:00,C1175,P170,S04,West,16097,4,20,Cash,Anjali,Cancelled,Online,559,9312,4,5,No,2897
50043,2023-01-02 18:00:00,C1869,P236,S04,South,25680,1,5,UPI,Aman,Cancelled,In-Store,444,4787,6,5,No,4622
50044,2023-01-02 19:00:00,C1252,P290,S02,South,64076,1,10,Credit Card,Aman,Delivered,Online,539,3638,5,1,No,11533
50045,2023-01-02 20:00:00,C1965,P198,S04,East,89700,3,10,Cash,Kiran,Delivered,Online,1242,6235,0,3,No,16146
50046,2023-01-02 21:00:00,C1245,P250,S01,East,37973,1,0,Cash,Aman,Pending,In-Store,111,1997,4,1,No,6835
50047,2023-01-02 22:00:00,C1738,P281,S02,West,641,4,20,Credit Card,Aman,Pending,In-Store,137,6240,5,3,No,115
50048,2023-01-02 23:00:00,C1105,P274,S03,West,5155,2,10,Debit Card,Kiran,Pending,Online,457,459,0,1,No,927
50049,2023-01-03 00:00:00,C1192,P266,S01,West,51750,4,20,Debit Card,Anjali,Cancelled,In-Store,1105,6081,3,4,No,9315
50050,2023-01-03 01:00:00,C1315,P186,S03,North,63471,4,20,UPI,Anjali,Cancelled,In-Store,82,6863,6,3,Yes,11424
50051,2023-01-03 02:00:00,C1301,P253,S03,South,38657,1,5,Credit Card,Aman,Delivered,Online,1945,3654,3,4,No,6958
50052,2023-01-03 03:00:00,C1547,P100,S03,West,26285,2,0,Credit Card,Anjali,Cancelled,In-Store,514,2342,4,4,No,4731
50053,2023-01-03 04:00:00,C1953,P241,S03,West,7888,4,20,Cash,Kiran,Delivered,In-Store,1163,656,6,2,No,1419
50054,2023-01-03 05:00:00,C1715,P211,S01,South,53457,2,20,UPI,Neha,Delivered,In-Store,734,6692,2,3,No,9622
50055,2023-01-03 06:00:00,C1933,P173,S04,East,34241,2,20,Debit Card,Rahul,Cancelled,In-Store,51,6421,4,5,No,6163
50056,2023-01-03 07:00:00,C1778,P164,S01,West,585,4,0,Cash,Kiran,Cancelled,In-Store,243,6342,3,2,No,105
50057,2023-01-03 08:00:00,C1267,P168,S04,West,43256,1,5,Cash,Anjali,Delivered,In-Store,767,3802,1,2,No,7786
50058,2023-01-03 09:00:00,C1169,P166,S03,West,80475,1,20,Cash,Aman,Delivered,In-Store,326,2607,2,4,No,14485
50059,2023-01-03 10:00:00,C1550,P276,S04,West,81111,3,15,Cash,Anjali,Delivered,Online,392,7397,5,3,Yes,14599
50060,2023-01-03 11:00:00,C1454,P149,S03,South,30895,4,5,Debit Card,Aman,Cancelled,Online,711,6429,0,4,No,5561
50061,2023-01-03 12:00:00,C1650,P157,S02,South,84928,4,0,Credit Card,Rahul,Delivered,In-Store,149,2719,1,1,No,15287
50062,2023-01-03 13:00:00,C1291,P152,S03,South,50796,2,10,Debit Card,Neha,Pending,Online,882,5043,6,1,No,9143
50063,2023-01-03 14:00:00,C1563,P190,S04,East,81747,2,20,UPI,Neha,Delivered,Online,337,3227,1,5,No,14714
50064,2023-01-03 15:00:00,C1798,P214,S02,West,64427,3,15,Debit Card,Kiran,Cancelled,In-Store,1998,9960,0,3,No,11596
50065,2023-01-03 16:00:00,C1800,P217,S02,East,54316,3,10,Credit Card,Rahul,Delivered,In-Store,1654,1565,4,4,No,9776
